Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
29-Dec-23,EQ,634.1,643,631.35,634.05,635.5,635.45,636.57,998.3,479,"24,88,030","1,58,38,12,623.40","78,473"
28-Dec-23,EQ,639,640.5,631.15,634.85,633.95,634.05,634.17,998.3,479,"18,09,403","1,14,74,69,081.95","62,978"
27-Dec-23,EQ,635,641.95,630.15,631.8,635,634.85,635.18,998.3,479,"20,95,270","1,33,08,69,568.15","59,161"
26-Dec-23,EQ,643.9,644.9,630,642.2,630.8,631.8,634.11,998.3,479,"37,85,953","2,40,07,00,034.75","86,045"
22-Dec-23,EQ,646,650.6,635.1,638.5,641.9,642.2,644.84,998.3,472,"50,75,390","3,27,27,94,876.70","1,06,957"
21-Dec-23,EQ,615,641.05,606.05,615.15,640,638.5,628.6,998.3,472,"74,28,551","4,66,95,50,703.05","1,46,392"
20-Dec-23,EQ,627.9,635.95,610,622.7,616,615.15,629.15,998.3,472,"1,44,09,676","9,06,58,94,995.00","1,91,505"
19-Dec-23,EQ,623.95,626,618.3,615.8,623.35,622.7,623.56,998.3,472,"48,80,996","3,04,35,96,898.90","1,40,380"
18-Dec-23,EQ,610,624,607,606.1,616,615.8,616.7,998.3,472,"95,16,903","5,86,91,03,640.25","1,66,097"
15-Dec-23,EQ,600,609.45,599.05,606.15,605.9,606.1,605.87,998.3,472,"55,49,270","3,36,21,16,048.20","89,430"
14-Dec-23,EQ,605,616.4,603.2,600,607,606.15,609.48,998.3,472,"78,05,126","4,75,70,64,561.20","1,59,913"
13-Dec-23,EQ,616.55,616.75,592.7,616.55,596.8,600,601.92,998.3,472,"1,48,13,146","8,91,63,42,618.55","2,88,947"
12-Dec-23,EQ,655,658,614.8,656.65,616,616.55,629.09,998.3,472,"1,57,26,788","9,89,36,12,021.15","3,22,028"
11-Dec-23,EQ,664.9,667,651.2,651.25,656,656.65,656.21,998.3,472,"52,45,093","3,44,18,89,589.45","1,14,942"
08-Dec-23,EQ,669.7,679.85,637,661.35,652.3,651.25,664.35,998.3,472,"1,52,79,182","10,15,06,68,246.75","3,78,804"
07-Dec-23,EQ,728.85,728.85,650.45,813.05,660.7,661.35,669,998.3,472,"3,68,30,243","24,63,94,69,447.40","5,33,397"
06-Dec-23,EQ,845,847,810.05,839.4,812.25,813.05,822.14,998.3,472,"47,86,923","3,93,55,09,087.30","1,11,040"
05-Dec-23,EQ,860,867,837,855.4,839.5,839.4,849.52,998.3,472,"23,12,043","1,96,41,29,733.65","91,002"
04-Dec-23,EQ,878.35,881.15,853.15,870.65,855.5,855.4,863.22,998.3,472,"18,91,411","1,63,26,98,970.70","61,034"
01-Dec-23,EQ,875.85,884.15,867.2,875.85,869.8,870.65,876.75,998.3,441,"11,99,062","1,05,12,73,751.65","41,070"
30-Nov-23,EQ,877,886.5,862.45,867.35,870,875.85,876.13,998.3,441,"3,05,47,550","26,76,36,34,898.50","2,27,154"
